sure,ayet_no,kac_kez,ayet_meali_hutbede_gecen,tema,tarih,hutbe_basligi
En'am,162,8,"De ki: Benim namazım, kurbanım, hayatım ve ölümüm ancak âlemlerin Rabbi olan Allah içindir.","Ramazan, Oruç ve Bayramlar",06.06.2025,KURBAN BAYRAMI: ALLAH’IN KULLARINA İHSAN VE İKRAMI
En'am,162,8,"Yapıp ettiklerim, ibadetlerim, yaşamım ve ölümüm âlemlerin Rabbi Allah içindir.",İbadet ve Kulluk,07.08.2015,KULLUĞUN ÖZÜ: İHSAN
En'am,162,8,"De ki: Benim namazım, ibadetlerim, hayatım ve ölümüm ancak âlemlerin Rabbi olan Allah içindir",İbadet ve Kulluk,08.05.2026,"İBADETLER, BİZİ RABBİMİZE YAKINLAŞTIRIR"
En'am,162,8,"De ki: Şüphesiz benim namazım, kurbanım, hayatım ve ölümüm, âlemlerin Rabbi olan Allah içindir.","Ramazan, Oruç ve Bayramlar",09.07.2022,KURBAN BAYRAMI: ALLAH’A YAKLAŞMA SEVİNCİMİZ
En'am,162,8,"De ki, şüphesiz benim namazım, ibadetlerim, hayatım ve ölümüm, âlemlerin Rabbi olan Allah içindir.",İbadet ve Kulluk,19.06.2020,HALİS NİYET VE SAMİMİYET
En'am,162,8,"Benim namazım, her bir ibadetim, hayatım ve ölümüm âlemlerin Rabbi Allah içindir.","İman, Tevhid ve Ahiret",25.11.2016,HAYATIN GAYESİ
En'am,162,8,"De ki: Benim namazım, kurbanım, hayatım ve ölümüm âlemlerin Rabbi Allah içindir.","Ramazan, Oruç ve Bayramlar",28.06.2023,KURBAN BAYRAMI: KARDEŞLİK VE YARDIMLAŞMA GÜNLERİ
En'am,162,8,"De ki: Benim namazım, her türlü ibadetim, hayatım ve ölümüm âlemlerin Rabbi olan Allah içindir.",İbadet ve Kulluk,31.01.2025,EBEDİYET YOLCUSUNU UĞURLARKEN
Al-i İmran,92,7,Sevdiğiniz şeylerden Allah yolunda harcamadıkça iyiliğe erişemezsiniz. Her ne harcarsanız Allah onu bilir.,"Ekonomik Hayat: Kazanç, Zekat ve İsraf",04.05.2018,KESİNTİSİZ HAYIR ÇEŞMESİ: VAKIFLAR
Al-i İmran,92,7,Sevdiğiniz şeylerden Allah yolunda harcamadıkça gerçek iyiliğe erişemezsiniz…,"Ekonomik Hayat: Kazanç, Zekat ve İsraf",09.05.2025,"VAKIF: YARATAN’A HÜRMET, YARATILANA MERHAMET"
Al-i İmran,92,7,Sevdiğiniz şeylerden Allah yolunda infak etmedikçe iyiliğe asla erişemezsiniz.,"Ekonomik Hayat: Kazanç, Zekat ve İsraf",15.04.2022,ZEKÂT VE İNFAK: İSLAM’IN KARDEŞLİK KÖPRÜSÜ
Al-i İmran,92,7,Sevdiğiniz şeylerden Allah için vermedikçe iyiliğe erişemezsiniz.,"Ramazan, Oruç ve Bayramlar",17.07.2015,RAMAZAN BAYRAMI
Al-i İmran,92,7,Sevdiğiniz şeylerden Allah yolunda harcamadıkça iyiliğe erişemezsiniz. Ne harcarsanız Allah onu hakkıyla bilir.,"Ekonomik Hayat: Kazanç, Zekat ve İsraf",17.08.2018,SADAKA-İ CÂRİYE
Al-i İmran,92,7,Sevdiğiniz şeylerden Allah yolunda infak etmedikçe iyiliğe asla eremezsiniz. Her ne infak ederseniz Allah onu bilir.,"Ramazan, Oruç ve Bayramlar",21.03.2025,İNFAK VE KUR’AN AYI RAMAZAN
Al-i İmran,92,7,Sevdiğiniz şeylerden Allah yolunda infak etmedikçe iyiliğe asla erişemezsiniz.,"Ramazan, Oruç ve Bayramlar",23.06.2017,ÖMRÜMÜZÜ RAMAZAN KILABİLMEK
Bakara,195,7,Kendi ellerinizle kendinizi tehlikeye atmayın.,"Afet, Kriz ve Sağlık",01.03.2024,ZARARLI ALIŞKANLIKLARIN ESİRİ OLMAYALIM
Bakara,195,7,Kendi ellerinizle kendinizi tehlikeye atmayın.,"Afet, Kriz ve Sağlık",04.06.2021,İSLAM ZARARLI ALIŞKANLIKLARI YASAKLAR
Bakara,195,7,"Allah yolunda infak edin. Kendi ellerinizle kendinizi tehlikeye atmayın. İyilik edin, kuşkusuz Allah iyilik edenleri sever.","Ekonomik Hayat: Kazanç, Zekat ve İsraf",08.05.2020,"RAMAZAN: İNFAK, YARDIMLAŞMA VE PAYLAŞMA AYI"
Bakara,195,7,Allah yolunda harcayın; kendi ellerinizle kendinizi tehlikeye atmayın.,"Ekonomik Hayat: Kazanç, Zekat ve İsraf",15.04.2022,ZEKÂT VE İNFAK: İSLAM’IN KARDEŞLİK KÖPRÜSÜ
Bakara,195,7,Yaptığınız işi güzel yapın; Allah işini güzel yapanları sever.,"Ekonomik Hayat: Kazanç, Zekat ve İsraf",20.08.2021,MÜSLÜMAN İŞİNİ SAĞLAM VE GÜZEL YAPAR
Bakara,195,7,Yaptığınız işi güzel yapın. Allah işini güzel yapanları sever,"Sabır, Tevekkül ve Manevi Olgunluk",27.03.2026,TEVEKKÜL
Bakara,195,7,Kendi kendinizi tehlikeye atmayın.,"Afet, Kriz ve Sağlık",30.07.2021,AFETLERE KARŞI SORUMLULUĞUMUZUN İDRAKİNDE OLALIM
Nisa,93,7,"Kim bir mümini kasten öldürürse cezası, içinde ebedî kalacağı cehennemdir. Allah ona gazap etmiş, lânet etmiş ve onun için büyük bir azap hazırlamıştır.","Ramazan, Oruç ve Bayramlar",08.08.2013,RAMAZAN BAYRAMI
Nisa,93,7,"Kim bir mümini kasten öldürürse cezası, içinde devamlı kalmak üzere cehennemdir. Allah ona gazap etmiş, onu lanetlemiş ve onun için büyük bir azap hazırlamıştır.","Toplumsal Dayanışma, Merhamet ve Kardeşlik",12.10.2018,"CENÂB-I HAK, HER HAK SAHİBİNE HAKKINI VERMİŞTİR"
Nisa,93,7,"Kim bir mümini kasten öldürürse cezası, içinde ebedî kalmak üzere cehennemdir. Allah ona gazap etmiştir, lânet etmiştir ve çok büyük bir azap hazırlamıştır.","Toplumsal Dayanışma, Merhamet ve Kardeşlik",13.09.2019,HER CAN DOKUNULMAZDIR
Nisa,93,7,"Kim bir mümini kasten öldürürse; cezası, içinde ebedi kalacağı cehennemdir. Allah ona gazap etmiş, onu lanetlemiş ve onun için büyük bir azap hazırlamıştır.","Ahlak, Erdem ve Söz",15.08.2025,KUL HAKKI ATEŞTEN GÖMLEKTİR
Nisa,93,7,"Her kim, bir mümini kasten öldürürse onun cezası, ebedi olarak cehennemde kalmaktır.","Vatan, Millet ve Tarih",16.12.2016,HER ZORLUKLA BERABER BİR KOLAYLIK VARDIR.
Nisa,93,7,"Kim bir mümini kasten öldürürse cezası, içinde ebedî kalacağı cehennemdir. Allah ona gazap etmiş, lânet etmiş ve onun için büyük bir azap hazırlamıştır.",İslam Coğrafyası ve Küresel Meseleler,23.08.2013,"İNSANIN KATLİ, İNSANLIĞIN KATLİDİR"
Nisa,93,7,"Kim bir mümini kasten öldürürse onun cezası, içinde ebedî kalmak üzere gireceği cehennemdir. Allah ona gazap etmiş, onu lânetlemiş ve onun için büyük bir azap hazırlamıştır.","Vatan, Millet ve Tarih",26.08.2016,HAYAT VEREN DİN: İSLÂM
Zümer,9,7,Hiç bilenlerle bilmeyenler bir olur mu?,"Eğitim, Teknoloji, Çevre ve Toplumsal Değişim",02.10.2015,YARATAN RABBİNİN ADIYLA OKU!
Zümer,9,7,De ki: Hiç bilenlerle bilmeyenler bir olur mu?,"Eğitim, Teknoloji, Çevre ve Toplumsal Değişim",08.09.2023,"İLİM YOLU, CENNET YOLUDUR"
Zümer,9,7,De ki: Hiç bilenlerle bilmeyenler bir olur mu?,"Eğitim, Teknoloji, Çevre ve Toplumsal Değişim",09.09.2022,İLİM BİR NURDUR
Zümer,9,7,De ki: Hiç bilenlerle bilmeyenler bir olur mu?,"Eğitim, Teknoloji, Çevre ve Toplumsal Değişim",11.09.2026,EĞİTİM VE ÖĞRETİM
