satir,durum,skor,eski_kaynak,eski_bolum,yeni_kaynak,yeni_bolum,dipnot_no,dipnot_ref,csv_tarih,hutbe,metin_kaynagi,esleme,alinti
30,dogru,1.0,Tirmizî,Birr,Tirmizî,Birr,2,"Tirmizî, Birr, 75.",29.10.2021,"29.10.2021 YAŞLILARIMIZA VEFA, RAHMET VE MAĞFİRET V",metinler,baslik_eslesti,"Bir genç, bir yaşlıya yaşından dolayı hürmet ederse, Allah da ona, yaşlılığında hürmet edecek birisini gönderir."
31,dogru,1.0,Tirmizî,Birr,Tirmizî,Birr,6,"Tirmizî, Birr, 33.",18.02.2022,18.02.2022 PEYGAMBERİMİZİN AHLAKI KUR’AN’DI,metinler,baslik_eslesti,"Hiçbir anne baba, çocuğuna güzel terbiyeden daha kıymetli bir bağışta bulunamaz."
32,dogru,1.0,Tirmizî,Birr,Tirmizî,Birr,2,"Tirmizî, Birr, 33.",17.06.2022,"17.06.2022 HAYDİ KOŞ GEL, CAMİLER SENİNLE GÜZEL",metinler,baslik_eslesti,"Hiçbir anne baba, çocuğuna güzel terbiyeden daha kıymetli bir bağışta bulunmamıştır."
33,dogru,1.0,Tirmizî,Birr,Tirmizî,Birr,4,"Tirmizi, Birr, 11.",05.08.2022,05.08.2022 MUHARREM AYI VE KERBELÂ,metinler,baslik_eslesti,"Dünyadaki çiçeğim, reyhanım"
34,dogru,1.0,Tirmizî,Birr,Tirmizî,Birr,3,"Tirmizî, Birr, 3.",02.09.2022,02.09.2022 ANNE BABA: CENNETİ KAZANMA VESİLESİ,metinler,baslik_eslesti,"Rabbin hoşnutluğu anne babanın hoşnutluğuna, Rabbin öfkesi de, anne babanın öfkesine bağlıdır."
35,dogru,1.0,Tirmizî,Birr,Tirmizî,Birr,4,"Tirmizî, Birr, 3.",02.09.2022,02.09.2022 ANNE BABA: CENNETİ KAZANMA VESİLESİ,metinler,baslik_eslesti,"Anne baba, kişinin cennete girmesine vesile olacak en yüce kapılardan birisidir. Bu kapıdan girme fırsatını kaybetmek ya da değerlendirmek artık sana kalmıştır!"
36,dogru,1.0,Tirmizî,Birr,Tirmizî,Birr,5,"Tirmizî, Birr, 3.",23.06.2023,23.06.2023 BABA: CENNETE AÇILAN KAPI,metinler,baslik_eslesti,"Anne baba, kişinin cennete girmesine vesile olacak ana kapılardan birisidir…"
37,dogru,1.0,Tirmizî,Birr,Tirmizî,Birr,2,"Tirmizî, Birr, 33.",30.06.2023,30.06.2023 ÇOCUKLARIMIZIN ÜZERİMİZDE HAKKI,metinler,baslik_eslesti,"Hiçbir anne baba, çocuğuna güzel terbiyeden daha kıymetli bir bağışta bulunmamıştır."
38,dogru,1.0,Tirmizî,Birr,Tirmizî,Birr,4,"Tirmizî, Birr, 11.",28.07.2023,28.07.2023 MUHARREM AYININ ÖNEMİ VE EHL-İ BEYT-İ MU,metinler,baslik_eslesti,"Benim dünyadaki çiçeğim, reyhanım"
39,dogru,1.0,Tirmizî,Birr,Tirmizî,Birr,2,"Tirmizî, Birr, 33.",21.06.2024,21.06.2024 YAZA KUR’AN’LA MERHABA,metinler,baslik_eslesti,"Hiçbir anne baba, çocuğuna güzel terbiyeden daha kıymetli bir bağışta bulunmamıştır."
