satir,durum,skor,eski_kaynak,eski_bolum,yeni_kaynak,yeni_bolum,dipnot_no,dipnot_ref,csv_tarih,hutbe,metin_kaynagi,esleme,alinti
222,dogru,1.0,Tirmizî,Zühd,Tirmizî,Zühd,6,"Tirmizî, Zühd, 45.",04.02.2022,04.02.2022 SÖZ VE DAVRANIŞLARIMIZDA DOĞRU OLALIM,metinler,baslik_eslesti,Kişi dostunun dini üzerinedir.
223,dogru,1.0,Tirmizî,Zühd,Tirmizî,Zühd,4,"Tirmizî, Zühd, 2.",21.10.2022,21.10.2022 KOMŞULUK HUKUKU,metinler,baslik_eslesti,Komşuna iyilik yap ki mümin olasın.
224,dogru,1.0,Tirmizî,Zühd,Tirmizî,Zühd,1,"Tirmizî, Zühd, 44.",22.03.2024,22.03.2024 RAMAZAN VE AHİRET BİLİNCİ,metinler,baslik_eslesti,"Ben, dünyada bir ağacın altında kısa bir süre gölgelendikten sonra yola koyulup oradan ayrılan bir yolcu gibiyim."
225,dogru,1.0,Tirmizî,Zühd,Tirmizî,Zühd,3,"Tirmizî, Zühd, 11.",26.12.2025,26.12.2025 KİMLİĞİMİZ GELECEĞİMİZDİR,metinler,baslik_eslesti,Kişinin iyi Müslüman olduğunun işaretlerinden biri de faydasız söz ve lüzumsuz işleri terk etmesidir
226,kirpilmis_duzeltildi,1.0,Buhârî,Rik,Buhârî,Rikâk,5,"Buhârî, Rikâk, 1.",30.12.2011,30.12.2011 ZAMAN BİLİNCİ,metinler,baslik_eslesti,"İki nimet vardır ki, insanların çoğu onları değerlendirme hususunda aldanmıştır: Sağlık ve boş zaman."
227,kirpilmis_duzeltildi,1.0,Buhârî,Rik,Buhârî,Rikâk,3,"Buhârî, Rikâk, 3.",13.12.2013,13.12.2013 DÜNYADA YOLCU OLABİLMEK!,metinler,baslik_eslesti,Dünyada kimsesiz bir garip yahut bir yolcu gibi ol!
228,kirpilmis_duzeltildi,1.0,Buhârî,Rik,Buhârî,Rikâk,2,"Buhârî, Rikâk, 1.",27.12.2013,27.12.2013 ÖMÜR SERMAYESİ TÜKENİRKEN…,metinler,baslik_eslesti,İki nimet vardır ki insanların çoğu (onları değerlendirme hususunda) aldanmıştır: Sağlık ve boş zaman.
229,kirpilmis_duzeltildi,1.0,Buhârî,Rik,Buhârî,Rikâk,3,"Buhârî, Rikâk, 4.",25.12.2015,25.12.2015 SAYILI NEFESLERİMİZİ TÜKETİRKEN…,metinler,baslik_eslesti,"Bu dörtgenin ortasındaki çizgi insandır. Dörtgen de insanın ecelidir ve onu kuşatmıştır. Diğer çizgiler ise insanın arzu ve tutkularıdır. İnsan, bu arzu ve tutkuların peşinde koşup dururken, ecel ansızın onun önünü keser ve onu alıp götürür."
230,kirpilmis_duzeltildi,1.0,Buhârî,Rik,Buhârî,Rikâk,3,"Buhârî, Rikâk, 1.",09.11.2018,09.11.2018 SAĞLIK: DÜNYALARA DEĞER NİMET,metinler,baslik_eslesti,"İki nimet vardır ki, insanların çoğu onları değerlendirme hususunda aldanmıştır: Sağlık ve boş vakit."
231,kirpilmis_duzeltildi,1.0,Buhârî,Rik,Buhârî,Rikâk,5,"Buhârî, Rikâk, 38.",08.02.2019,08.02.2019 İBADET: KUL OLMA ŞUURU,metinler,baslik_eslesti,"Kulum, farz ibadetlerden daha sevimli bir şeyle bana yaklaşamaz. Nafile ibadetlerle de bana yaklaşmaya devam eder. Sonuçta ben onu severim. Sevince de onun işiten kulağı, gören gözü, tutan eli, yürüyen ayağı olurum. Benden istediğinde ona veririm. Bana sığındığında onu korurum."
232,kirpilmis_duzeltildi,1.0,Buhârî,Rik,Buhârî,Rikâk,2,"Buhârî, Rikâk, 3.",27.12.2019,27.12.2019 TEFEKKÜR İLE BİR ÖMÜR GEÇİRMEK,metinler,baslik_eslesti,Dünyada kimsesiz bir garip yahut gelip geçen bir yolcu gibi ol!
233,kirpilmis_duzeltildi,1.0,Buhârî,Rik,Buhârî,Rikâk,1,"Buhârî, Rikâk, 1.",17.01.2020,17.01.2020 TEKNOLOJİ BAĞIMLILIĞI VE SOSYAL MEDYA AH,metinler,baslik_eslesti,İki nimet vardır ki insanların çoğu onları değerlendirme hususunda aldanmıştır: Sağlık ve boş vakit.
234,kirpilmis_duzeltildi,1.0,Buhârî,Rik,Buhârî,Rikâk,2,"Buhârî, Rikâk, 3.",30.12.2022,30.12.2022 HAYATIN TEKRARI YOK,metinler,baslik_eslesti,"Dünyada, bir garip yahut bir yolcu gibi ol!"
235,kirpilmis_duzeltildi,1.0,Buhârî,Rik,Buhârî,Rikâk,3,"Buhârî, Rikâk, 1.",05.05.2023,05.05.2023 İSRAF: TÜKETİRKEN TÜKENMEK,metinler,baslik_eslesti,"İki nimet vardır ki insanların çoğu onları değerlendirme hususunda aldanmıştır. Bu iki nimet, sağlık ve boş vakittir."
236,kirpilmis_duzeltildi,1.0,Buhârî,Rik,Buhârî,Rikâk,4,"Buhârî, Rikâk, 1.",01.03.2024,01.03.2024 ZARARLI ALIŞKANLIKLARIN ESİRİ OLMAYALIM,metinler,baslik_eslesti,"İki nimet vardır ki insanların çoğu, onları değerlendirme hususunda aldanmıştır. Bunlar; sağlık ve boş vakittir."
237,kirpilmis_duzeltildi,1.0,Buhârî,Rik,Buhârî,Rikâk,7,"Buhârî, Rikâk, 1.",08.08.2025,08.08.2025 SILA-İ RAHİMLE BEREKETLENEN TATİL,metinler,baslik_eslesti,"İki nimet vardır ki insanların çoğu, onları değerlendirme hususunda aldanmıştır. Bunlar; sağlık ve boş vakittir."
238,kirpilmis_duzeltildi,1.0,Tirmizî,Ed,Tirmizî,Edâhî,2,"Tirmizî, Edâhî, 1.",03.10.2014,03.10.2014 KURBAN ALLAH’A YAKIN OLMAK İÇİNDİR,metinler,baslik_eslesti,"Âdemoğlu kurban günü Allah katında kurban kesmekten daha sevimli bir amel işlemez. Kurban, kıyamet günü bütün uzuvlarıyla (sevap olarak) gelir. Kurban, henüz kanı yere düşmeden, Allah tarafından kabul edilir. Bu yüzden gönül rahatlığıyla kurbanlarınızı kesin."
239,kirpilmis_duzeltildi,1.0,Tirmizî,Ed,Tirmizî,Edâhî,2,"Tirmizî, Edâhî, 1.",04.09.2015,18.09.2015 KURBANLARIMIZ KARDEŞLİK İÇİN!,metinler,baslik_eslesti+tarih_duzeltildi,Âdemoğlu kurban bayramı günlerinde Allah katında kurbandan daha sevimli bir amel işlemiş olmaz...
240,kirpilmis_duzeltildi,1.0,Tirmizî,Ed,Tirmizî,Edâhî,2,"Tirmizî, Edâhî, 1.",12.09.2016,12.09.2016 KURBAN BAYRAMI,metinler,baslik_eslesti,Âdemoğlu kurban bayramı günlerinde Allah katında kurbandan daha hayırlı bir amel işlemiş olmaz...
241,kirpilmis_duzeltildi,1.0,Tirmizî,Ed,Tirmizî,Edâhî,2,"Tirmizî, Edâhî, 1.",25.08.2017,25.08.2017 ALLAH’A YAKIN OLMA ARAYIŞI: KURBAN,metinler,baslik_eslesti,Âdemoğlu kurban bayramı günlerinde Allah katında kurban kesmekten daha sevimli bir ibadet yapmış olamaz...
242,kirpilmis_duzeltildi,1.0,Tirmizî,Ed,Tirmizî,Edâhî,2,"Tirmizî, Edâhî 1.",11.08.2019,11.08.2019 KURBAN BAYRAMI,metinler,baslik_eslesti,"Âdemoğlu kurban günü Allah katında kurban kesmekten daha güzel bir amel işlemez. Kurban, kıyamet günü boynuzları, kılları ve tırnaklarıyla sevap olarak gelir. Kurban, henüz kanı yere düşmeden, Allah tarafından kabul edilir. Bu sebeple kurban kesme konusunda gönlünüz hoş olsun."
243,kirpilmis_duzeltildi,1.0,Tirmizî,Ed,Tirmizî,Edâhî,2,"Tirmizî, Edâhî, 1.",17.07.2020,"17.07.2020 KURBANINI PAYLAŞ, KARDEŞİNLE YAKINLAŞ",metinler,baslik_eslesti,"Âdemoğlu kurban bayramı günü, Allah katında kurban kesmekten daha güzel bir amel işleyemez"
244,kirpilmis_duzeltildi,1.0,Tirmizî,Ed,Tirmizî,Edâhî,2,"Tirmizî, Edâhî, 1.",20.07.2021,20.07.2021 KURBAN BAYRAMI,metinler,baslik_eslesti,Âdemoğlu kurban günü Allah katında kurban kesmekten daha güzel bir amel işlememiştir.
245,kirpilmis_duzeltildi,1.0,Tirmizî,Ed,Tirmizî,Edâhî,2,"Tirmizî, Edâhî, 1.",24.06.2022,24.06.2022 KURBAN: TAKVAYA ULAŞMA ARZUSU,metinler,baslik_eslesti,"Âdemoğlu, kurban günlerinde, Allah için kurban kesmekten daha güzel bir amel işleyemez…"
246,kirpilmis_duzeltildi,1.0,Tirmizî,Ed,Tirmizî,Edâhî,2,"Tirmizî, Edâhî, 1.",07.06.2024,07.06.2024 KURBAN: RABBİMİZE VE KARDEŞLERİMİZE YAKI,metinler,baslik_eslesti,"Âdemoğlu kurban bayramı günü, Allah katında kurban kesmekten daha sevimli bir iş yapmamıştır…"
247,kirpilmis_duzeltildi,1.0,Tirmizî,Ed,Tirmizî,Edâhî,3,"Tirmizî, Edâhî, 1.",23.05.2025,23.05.2025 SADAKAT VE TESLİMİYETİN NİŞANESİ: KURBAN,metinler,baslik_eslesti,"Âdemoğlu kurban bayramı günü, Allah katında, kurban kesmekten daha sevimli bir iş yapamaz…"
248,dogru,1.0,Tirmizî,İlim,Tirmizî,İlim,3,"Tirmizî, İlim, 16.",21.02.2014,21.02.2014 KALB-İ SELİM (III),metinler,baslik_eslesti,"Yavrucuğum! Eğer kalbinde kimseye karşı gıll u gışş yani kötü ve aldatıcı duygular barındırmadan sabaha ve akşama erişmeye güç yetirebiliyorsan bunu yap. İşte bu benim sünnetimdir. Kim benim sünnetimi yaşatırsa beni sevmiş olur, kim de beni severse cennette benimle birlikte olur."
249,dogru,1.0,Tirmizî,İlim,Tirmizî,İlim,2,"Tirmizî, İlim, 14.",21.11.2014,21.11.2014 HAYIR HAZİNELER DOLUSUDUR,metinler,baslik_eslesti,"Hayra vesile olan, o hayrı işleyen gibi sevap kazanır"
250,dogru,1.0,Tirmizî,İlim,Tirmizî,İlim,2,"Tirmizi, İlim, 2.",02.10.2015,02.10.2015 YARATAN RABBİNİN ADIYLA OKU!,metinler,baslik_eslesti,"İlim için yola koyulan kimse, dönünceye kadar Allah yolundadır."
251,tur_hatasi,1.0,Tirmizî,İlim,Hicr,99,6,"Hicr, 15/99.",23.03.2018,23.03.2018 İBADET HAYATIMIZ VE GÖNÜL DÜNYAMIZ,metinler,baslik_eslesti,Sana ölüm gelinceye kadar Rabbine ibadet et
252,dogru,1.0,Tirmizî,İlim,Tirmizî,İlim,2,"Tirmizî, İlim, 2.",23.03.2018,30.03.2018 VAHYİN İNSANLIĞA İLK MESAJI: OKU!,metinler,baslik_eslesti+tarih_duzeltildi,"İlim için yola koyulan kimse, dönünceye kadar Allah yolundadır."
253,dogru,1.0,Tirmizî,İlim,Tirmizî,İlim,6,"Tirmizî, İlim, 19.",09.09.2022,09.09.2022 İLİM BİR NURDUR,metinler,baslik_eslesti,Kuşkusuz âlimler peygamberlerin vârisleridir. Peygamberler miras olarak ne altın ne de gümüş bırakmışlardır; onların bıraktıkları yegâne miras ilimdir.
254,dogru,1.0,Tirmizî,İlim,Tirmizî,İlim,7,"Tirmizî, İlim, 19.",09.09.2022,09.09.2022 İLİM BİR NURDUR,metinler,baslik_eslesti,Kim ilim öğrenmek için yola çıkarsa Allah da ona cennete giden yolu kolaylaştırır.
255,dogru,1.0,Tirmizî,İlim,Tirmizî,İlim,5,"Tirmizî, İlim, 19.",08.09.2023,"08.09.2023 İLİM YOLU, CENNET YOLUDUR",metinler,baslik_eslesti,"İlim öğrenmek için yola koyulan kişiye, Allah cennete giden yolu kolaylaştırır."
256,dogru,1.0,Tirmizî,İlim,Tirmizî,İlim,2,"Tirmizî, İlim, 19.",06.09.2024,"06.09.2024 İLİM VE EĞİTİM, AHLAKLA YÜCELİR",metinler,baslik_eslesti,"Kim ilim için yola çıkarsa Allah ona cennete giden yolu kolaylaştırır. Melekler, ilim tahsil edenler üzerine kanatlarını gerer..."
257,dogru,1.0,Tirmizî,İlim,Tirmizî,İlim,4,"Tirmizî, İlim, 19.",05.09.2025,05.09.2025 İLİM HAKKI BİLMEKTİR,metinler,baslik_eslesti,"Kim, ilim için yola çıkarsa Allah ona cennete giden yolu kolaylaştırır."
258,kirpilmis_duzeltildi,1.0,Müslim,Zühd,Müslim,Zühd ve rekâik,2,"Müslim, Zühd ve rekâik, 64.",16.05.2014,16.05.2014 MÜMİNLER TEK VÜCUT GİBİDİR,metinler,baslik_eslesti,Müminin durumuna şaşılır! Her hâli kendisi için hayırlıdır. Bu durum yalnız mümine mahsustur. Başına sevinecek bir hâl geldiğinde şükreder; bu onun için hayır olur. Başına bir sıkıntı geldiğinde ona sabreder; bu da onun için hayır olur.
259,kirpilmis_duzeltildi,1.0,Müslim,Zühd,Müslim,Zühd ve rekâik,7,"Müslim, Zühd ve rekâik, 64.",12.12.2014,"12.12.2014 MUSİBETLER KARŞISINDA SABIR, MÜMİNCE BİR",metinler,baslik_eslesti,Müminin durumu ne ilginçtir! Her hâli kendisi için hayırlıdır. Bu durum yalnız mümine mahsustur. Başına sevinecek bir hâl geldiğinde şükreder; bu onun için hayır olur. Başına bir sıkıntı gelecek olursa ona da sabreder; onun için bu da hayır olur.
260,dogru,1.0,Müslim,Zühd,Müslim,Zühd,4,"Müslim, Zühd, 44.",19.05.2017,19.05.2017 GERÇEK ÖZGÜRLÜK: ALLAH’A KULLUK,metinler,baslik_eslesti,"Her kim Allah için bir mescit inşa ederse, Allah da ona cennette benzeri bir köşk ihsan eder."
261,dogru,1.0,Müslim,Zühd,Müslim,Zühd,3,"Müslim, Zühd, 64.",22.11.2019,22.11.2019 MUSİBETLER KARŞISINDA MÜMİNİN TAVRI,metinler,baslik_eslesti,Müminin hali ne hoştur! Her hali kendisi için hayırlıdır ve bu durum yalnız mümine mahsustur. Başına güzel bir iş geldiğinde şükreder; bu onun için hayır olur. Başına bir sıkıntı geldiğinde sabreder; bu da onun için hayır olur.
262,dogru,1.0,Müslim,Zühd,Müslim,Zühd,2,"Müslim, Zühd, 64.",31.01.2020,31.01.2020 AFETLERE KARŞI BİLİNÇLİ OLALIM,metinler,baslik_eslesti,Müminin durumu ne hoştur! Her hâli kendisi için hayırlıdır. Bu durum sadece mümine hastır. Bir nimetle karşılaştığında şükreder; bu onun için hayır olur. Bir musibetle karşılaştığında ise sabreder; bu da onun için hayır olur.
263,dogru,1.0,Müslim,Zühd,Müslim,Zühd,7,"Müslim, Zühd, 64.",27.03.2020,27.03.2020 ZORLUKLAR KARŞISINDA MÜMİN,metinler,baslik_eslesti,Müminin durumu ne hoştur! Her hâli kendisi için hayırlıdır. Bu durum yalnız mümine mahsustur. Başına sevinecek bir hâl geldiğinde şükreder; bu onun için hayır olur. Başına bir sıkıntı geldiğinde sabreder; bu da onun için hayır olur.
264,dogru,1.0,Müslim,Zühd,Müslim,Zühd,3,"Müslim, Zühd, 44.",24.07.2020,"24.07.2020 AYASOFYA: FETHİN NİŞANESİ, FATİH’İN EMAN",metinler,baslik_eslesti,"Her kim Allah için bir mescit bina ederse, Allah da ona cennette bu mescidin benzeri bir köşk bina eder."
265,dogru,0.935,Müslim,Zühd,Müslim,Zühd,3,"Müslim, Zühd, 44.",16.10.2020,"24.07.2020 AYASOFYA: FETHİN NİŞANESİ, FATİH’İN EMAN",metinler,baslik_eslesti+tarih_duzeltildi,"Her kim Allah için bir mescit bina ederse, Allah da ona cennette bu mescidin bir benzerini bina eder."
266,dogru,1.0,Müslim,Zühd,Müslim,Zühd,4,"Müslim, Zühd, 64.",26.02.2021,26.02.2021 ZOR ZAMANLARDA MANEVİYATIMIZDAN DESTEK A,metinler,baslik_eslesti,Müminin durumu ne hoştur! Her hâli kendisi için hayırlıdır. Bu durum yalnız mümine mahsustur. Başına sevinecek bir hâl geldiğinde şükreder; bu onun için hayır olur. Başına bir sıkıntı geldiğinde sabreder; bu da onun için hayır olur.
267,kirpilmis_duzeltildi,1.0,Tirmizî,Deav,Tirmizî,Deavât,6,"Tirmizî, Deavât, 89.",21.02.2014,21.02.2014 KALB-İ SELİM (III),metinler,baslik_eslesti,Ey kalpleri bir halden diğer bir hale çeviren Rabbim! Benim kalbimi dinin üzere sabit kıl.
268,HATALI,1.0,Tirmizî,Deav,Müslim,İman,2,"Müslim, İman, 57.",22.08.2014,22.08.2014 HAYÂ HAYATTIR!,metinler,baslik_eslesti,İmanın yetmiş küsür şubesi vardır... Hayâ da imandan bir şubedir.
269,HATALI,1.0,Tirmizî,Deav,Buhârî,Umre,2,"Buharî, Umre 1.",22.08.2014,05.09.2014 HAC: KALBE YOLCULUK,metinler,baslik_eslesti+tarih_duzeltildi,Allah tarafından kabul edilmiş haccın karşılığı ancak cennettir.
270,kirpilmis_duzeltildi,1.0,Tirmizî,Deav,Tirmizî,Deavât,2,"Tirmizî, Deavât, 1.",10.02.2017,10.02.2017 MÜMİNCE YAKARIŞIN ADI: DUA,metinler,baslik_eslesti,"Dua, ibadetin özüdür."
271,kirpilmis_duzeltildi,1.0,Tirmizî,Deav,Tirmizî,Deavât,6,"Tirmizî, Deavât, 86.",21.08.2018,21.08.2018 KURBAN BAYRAMI,metinler,baslik_eslesti,Temizlik imanın yarısıdır
272,kirpilmis_duzeltildi,1.0,Tirmizî,Deav,Tirmizî,Deavât,7,"Tirmizî, Deavât, 15.",14.12.2018,14.12.2018 RAHMET VE MAĞFİRET KAPISI: TEVBE,metinler,baslik_eslesti,"Allahım! Sensin benim Rabbim, senden başka ilâh yok. Beni yarattın ben de senin kulunum. Ben gücüm yettiğince sana verdiğim sözün ve senin vaadin üzereyim. Yaptıklarımın şerrinden sana sığınırım. Üzerimdeki nimetini itiraf ediyorum. Ve günahımı da itiraf ediyorum. Beni, günahlarımı bağışla çünkü günahları senden başka affedecek hiç kimse yoktur."
273,kirpilmis_duzeltildi,1.0,Tirmizî,Deav,Tirmizî,Deavât,5,"Tirmizî, Deavât, 86.",11.08.2019,11.08.2019 KURBAN BAYRAMI,metinler,baslik_eslesti,Temizlik imanın yarısıdır
274,kirpilmis_duzeltildi,1.0,Tirmizî,Deav,Tirmizî,Deavât,3,"Tirmizî, Deavât, 86.",31.07.2020,31.07.2020 KURBAN BAYRAMI: TAKVA YOLCULUĞU,metinler,baslik_eslesti,Temizlik imanın yarısıdır.
275,kirpilmis_duzeltildi,1.0,Tirmizî,Deav,Tirmizî,Deavât,2,"Tirmizî, Deavât, 9.",26.02.2021,26.02.2021 ZOR ZAMANLARDA MANEVİYATIMIZDAN DESTEK A,metinler,baslik_eslesti,"Zor zamanlarda duasının kabul edilmesini isteyen kişi, rahat zamanında çokça dua etsin."
276,kirpilmis_duzeltildi,1.0,Tirmizî,Rad,Tirmizî,Radâ’,5,"Tirmizî, Radâ’, 11.",08.03.2013,08.03.2013 BİR KUL OLARAK KADIN,metinler,baslik_eslesti,Sizin en hayırlılarınız hanımlarına karşı en iyi davrananınızdır
277,kirpilmis_duzeltildi,1.0,Tirmizî,Rad,Tirmizî,Radâ,7,"Tirmizi, Radâ, 11.",12.04.2013,12.04.2013 PEYGAMBERİMİZ VE İNSAN ONURU,metinler,baslik_eslesti,Sizin hayırlılarınız kadınlarına iyi davrananlardır.
278,kirpilmis_duzeltildi,1.0,Tirmizî,Rad,Tirmizî,Radâ’,2,"Tirmizî, Radâ’, 11.",03.02.2017,"03.02.2017 AHİT, AKİT VE MİSAK OLARAK NİKÂH",metinler,baslik_eslesti,"Müminlerin iman bakımından en olgun olanları, ahlâkı en güzel olanlarıdır. Sizin en hayırlılarınız da eşine karşı en iyi davrananlarınızdır."
279,tur_hatasi,1.0,Tirmizî,Rad,Mutaffifin,1,2,"Mutaffifîn, 83/1-3.",02.03.2018,02.03.2018 İSLAM’DA TİCARET AHLAKI,metinler,baslik_eslesti,"Ölçü ve tartıda hile yapanlara yazıklar olsun. Onlar, insanlardan bir şey aldıklarında tam ölçüp tartarlar. Kendileri başkalarına vermek için ölçtüklerinde ise eksik tartarlar..."
280,kirpilmis_duzeltildi,1.0,Tirmizî,Rad,Tirmizî,Radâ,2,"Tirmizî, Radâ, 11.",02.03.2018,"09.03.2018 İSLAM'DA KADIN: ADALET, MERHAMET VE HAKK",metinler,baslik_eslesti+tarih_duzeltildi,"Biliniz ki, sizin, hanımlarınız üzerinde hakkınız olduğu gibi, hanımlarınızın da sizin üzerinizde hakları vardır"
281,kirpilmis_duzeltildi,1.0,Tirmizî,Rad,Tirmizî,Radâ,8,"Tirmizî, Radâ, 11.",02.03.2018,"09.03.2018 İSLAM'DA KADIN: ADALET, MERHAMET VE HAKK",metinler,baslik_eslesti+tarih_duzeltildi,Sizin en hayırlınız hanımlarına karşı en iyi davranandır
282,kirpilmis_duzeltildi,1.0,Tirmizî,Rad,Tirmizî,Radâ,5,"Tirmizî, Radâ, 11.",27.07.2018,27.07.2018 İMAN-AMEL İLİŞKİSİ,metinler,baslik_eslesti,Müminlerin iman bakımından en olgun olanları ahlakı en güzel olanlarıdır.
283,kirpilmis_duzeltildi,1.0,Tirmizî,Rad,Tirmizî,Radâ,2,"Tirmizî, Radâ, 11.",15.11.2019,15.11.2019 PEYGAMBERİMİZ VE AİLE,metinler,baslik_eslesti,"Sizin hanımlarınız üzerinde hakkınız olduğu gibi, hanımlarınızın da sizin üzerinizde hakları vardır."
284,kirpilmis_duzeltildi,1.0,Tirmizî,Rad,Tirmizî,Radâ,3,"Tirmizî, Radâ, 11.",29.08.2025,29.08.2025 ÂLEMLERE RAHMET HZ. MUHAMMED (S.A.S),metinler,baslik_eslesti,Dikkat edin! Sizin kadınlar üzerinde hakkınız olduğu gibi onların da sizin üzerinizde hakları vardır.
285,kirpilmis_duzeltildi,1.0,İbn Mâce,Nik,İbn Mâce,Nikâh,2,"İbn Mâce, Nikâh, 50.",13.05.2016,13.05.2016 HUZUR VE MUHABBET OCAĞI: AİLEMİZ,metinler,baslik_eslesti,"En hayırlınız, ailesine karşı en hayırlı olanınızdır."
286,kirpilmis_duzeltildi,1.0,İbn Mâce,Nik,İbn Mâce,Nikâh,4,"İbn Mâce, Nikâh, 46.",05.01.2018,05.01.2018 DÜNYADAKİ CENNETİMİZ: AİLE,metinler,baslik_eslesti,"Evleneceğiniz eş konusunda seçici davranın, denginizle evlenin. Kızlarınızı da emsalleriyle evlendirin."
287,kirpilmis_duzeltildi,1.0,İbn Mâce,Nik,İbn Mâce,Nikâh,2,"İbn Mâce, Nikâh, 50.",11.05.2018,11.05.2018 ADALET VE İHSAN YUVASI: AİLE,metinler,baslik_eslesti,"Sizin en hayırlınız ailesine en güzel şekilde davranandır. Ben, aranızda ailesine en güzel davranan kişiyim."
288,kirpilmis_duzeltildi,1.0,İbn Mâce,Nik,İbn Mâce,Nikâh,4,"İbn Mâce, Nikâh, 1.",07.06.2019,"07.06.2019 AİLE OLMAK, AİLE KALMAK",metinler,baslik_eslesti,Nikâh benim sünnetimdir. Kim benim sünnetimden yüz çevirirse benden değildir.
289,kirpilmis_duzeltildi,0.947,İbn Mâce,Nik,İbn Mâce,Nikâh,3,"İbn Mâce, Nikâh, 1.",20.05.2022,28.10.2022 AİLE OLMAK: İLAHİ LÜTUF,metinler,baslik_eslesti+tarih_duzeltildi,Nikâh benim sünnetimdir. Kim benim sünnetime uygun davranmazsa benden değildir.
290,kirpilmis_duzeltildi,1.0,İbn Mâce,Nik,İbn Mâce,Nikâh,3,"İbn Mâce, Nikâh, 1.",28.10.2022,28.10.2022 AİLE OLMAK: İLAHİ LÜTUF,metinler,baslik_eslesti,Nikâh benim sünnetimdir. Benim sünnetime uygun davranmayan benden değildir…
291,kirpilmis_duzeltildi,1.0,İbn Mâce,Nik,İbn Mâce,Nikâh,3,"İbn Mâce, Nikâh, 1.",07.07.2023,07.07.2023 EVLİLİKLERİMİZ KOLAY OLSUN,metinler,baslik_eslesti,Nikâh benim sünnetimdir. Kim benim sünnetime uygun davranmazsa benden değildir.
292,kirpilmis_duzeltildi,1.0,İbn Mâce,Nik,İbn Mâce,Nikâh,9,"İbn Mâce, Nikâh, 1.",13.06.2025,13.06.2025 DÜĞÜN YAPMANIN DA BİR ÂDÂBI VARDIR,metinler,baslik_eslesti,"Nikâh benim sünnetimdir. Kim benim sünnetime uygun davranmazsa benden değildir. Evlenin, çoğalın. Çünkü ben, kıyamet günü diğer ümmetlere karşı sizin çokluğunuzla iftihar edeceğim."
293,kirpilmis_duzeltildi,1.0,İbn Mâce,Nik,İbn Mâce,Nikâh,3,"İbn Mâce, Nikâh, 50.",31.10.2025,31.10.2025 AİLEDE HUZURUN KAYNAĞI: MERHAMET VE MUHA,metinler,baslik_eslesti,"Sizin en hayırlınız, ailesine en hayırlı olandır. İçinizde ailesine karşı en hayırlı olan da benim"
294,kirpilmis_duzeltildi,1.0,Buhârî,Nik,Buhârî,Nikâh,9,"Buhârî, Nikâh, 81.",25.11.2011,"25.11.2011 EŞİMİZ, EVLADIMIZ, ANNEMİZ: KADIN",metinler,baslik_eslesti,"Biz Peygamber(sas) zamanında hakkımızda vahiy indirilir korkusuyla, hanımlarımıza kaba davranmaktan ve onları incitici söz söylemekten çekinirdik. Maalesef Efendimizin(sas) vefatından sonra aynı duyarlılığı gösteremez olduk."
295,kirpilmis_duzeltildi,1.0,Buhârî,Nik,Buhârî,Nikâh,2,"Buhârî, Nikâh, 42.",05.01.2018,05.01.2018 DÜNYADAKİ CENNETİMİZ: AİLE,metinler,baslik_eslesti,Rızaları olmadan kızlarınızı evlendirmeyin!
296,kirpilmis_duzeltildi,1.0,Buhârî,Nik,Buhârî,Nikâh,5,"Buhârî, Nikâh, 69.",20.07.2018,20.07.2018 DÜĞÜN ÂDÂBI,metinler,baslik_eslesti,Bir koyunla dahi olsa düğün yemeği ver.
297,kirpilmis_duzeltildi,1.0,Buhârî,Nik,Buhârî,Nikâh,5,"Buhârî, Nikâh, 3, Müslîm, Nikâh, 1.",07.06.2019,"07.06.2019 AİLE OLMAK, AİLE KALMAK",metinler,baslik_eslesti,"Ey genç topluluğu, aranızdan evlenmeye gücü yetenler evlensin."
298,kirpilmis_duzeltildi,1.0,Buhârî,Nik,Buhârî,Nikâh,6,"Buhârî, Nikâh, 3, Müslîm, Nikâh, 1.",07.06.2019,"07.06.2019 AİLE OLMAK, AİLE KALMAK",metinler,baslik_eslesti,"evlenmek, gözü haramdan çevirmek ve iffeti korumak için en iyi yoldur."
299,kirpilmis_duzeltildi,1.0,Buhârî,Nik,Buhârî,Nikâh,2,"Buhârî, Nikâh, 3.",10.06.2022,10.06.2022 BİR YUVA KURALIM,metinler,baslik_eslesti,"Ey genç topluluğu! Aranızdan evlenmeye gücü yetenler evlensin. Çünkü evlenmek, gözü haramdan korumak ve iffeti muhafaza etmek için en iyi yoldur."
300,kirpilmis_duzeltildi,1.0,Buhârî,Nik,Buhârî,Nikâh,3,"Buhârî, Nikâh, 3.",16.05.2025,"16.05.2025 AİLE: GÜVEN, SADAKAT VE MERHAMET YUVASI",metinler,baslik_eslesti,"…Evlenmek, gözü haramdan korumak, iffeti muhafaza etmek için en iyi yoldur…"
301,kirpilmis_duzeltildi,1.0,Buhârî,Nik,Buhârî,Nikâh,4,"Buhârî, Nikâh, 3; Müslim, Nikâh, 1.",12.09.2025,12.09.2025 PEYGAMBERİMİZ VE AİLE AHLAKI,metinler,baslik_eslesti,"Evlenmek, gözü haramdan çevirmek ve iffeti korumak için en iyi yoldur."
302,dogru,1.0,Müslim,İman,Müslim,İman,4,"Müslim, İman, 93.",27.11.2015,27.11.2015 İMANI HAYAT KILABİLMEK,metinler,baslik_eslesti,"İman etmeden cennete giremezsiniz, birbirinizi sevmeden de gerçek anlamda iman etmiş olamazsınız."
