indeks,eylem,eski,yeni,dipnot_ref
196,duzeltildi,"Buhârî,Sal","Buhârî,Salât","Buhârî, Salât, 88; Müslim, Birr ve Sıla, 65."
198,duzeltildi,"Tirmizî,Ed","Tirmizî,Edâhî","Tirmizî, Edâhî, 1."
200,duzeltildi,"Tirmizî,Sıfatü’l- Kıy","Tirmizî,Sıfatü’l- Kıyâme","Tirmizi, Sıfatü’l- Kıyâme, 1."
201,duzeltildi,"Müslim,-","Müslim,Îmân","Müslim, Îmân, 78."
202,duzeltildi,"Taberânî,Mu’cemü’s-sağ","Taberânî,el-Mu’cemü’s-sağîr","Taberânî, el-Mu’cemü’s-sağîr, II, 131."
204,duzeltildi,"Müslim,-","Müslim,Îmân","Müslim, Îmân, 164."
206,duzeltildi,"Müslim,-","Müslim,Îmân","Müslim, Îmân, 147."
208,duzeltildi,"Tirmizî,Sıfatü’l-kıy","Tirmizî,Sıfatü’l-kıyâme","Tirmizî, Sıfatü’l-kıyâme, 51; Ebû Dâvûd, Edeb, 35."
209,duzeltildi,"Buhârî,-","Buhârî,Îmân","Buhârî, Îmân, 4."
211,duzeltildi,"Buhârî,-","Buhârî,Îmân","Buhârî, Îmân, 39; Müslim, Müsâkât, 107."
212,duzeltildi,"Buhârî,Nik","Buhârî,Nikâh","Buhârî, Nikâh, 42."
213,duzeltildi,"İbn Mâce,Nik","İbn Mâce,Nikâh","İbn Mâce, Nikâh, 46."
215,duzeltildi,"Buhârî,Lib","Buhârî,Libâs","Buhârî, Libâs, 1; Nesâî, Zekât, 66."
218,duzeltildi,"Tirmizî,Sıfatü’l","Tirmizî,Sıfatü’l -Kıyame","Tirmizî, Sıfatü’l -Kıyame, 1."
219,tasindi,"Tirmizî,Rad","Mutaffifin,1",tür karışması
220,duzeltildi,"Buhârî,Zekat","İbn Mâce,Ticaret","İbn Mâce, Ticaret, 45."
221,duzeltildi,"Tirmizî,Rad","Tirmizî,Radâ","Tirmizî, Radâ, 11."
222,duzeltildi,"Buhârî,Zekat","Buhârî,Zekat","Buhari Zekat, 10."
223,duzeltildi,"Ebû Dâvûd,Tah","Ebû Dâvûd,Tahâret","Ebû Dâvûd, Tahâret, 94."
224,duzeltildi,"Müslim,Hac","Müslim,Hac","Müslim, Hac, 147."
225,duzeltildi,"Tirmizî,Rad","Tirmizî,Radâ","Tirmizî, Radâ, 11."
226,tasindi,"Tirmizî,İlim","Hicr,99",tür karışması
227,duzeltildi,"Tirmizî,İlim","Tirmizî,İlim","Tirmizî, İlim, 2."
228,tasindi,"Müslim,-","Hud,114",tür karışması
229,duzeltildi,"İbn Mâce,Nik","İbn Mâce,Nikâh","İbn Mâce, Nikâh, 50."
230,duzeltildi,"Buhârî,Zek","Buhârî,Zekât","Buhârî, Zekât, 63; Müslim, Îmân, 29"
232,duzeltildi,"İbn Mâce,Tah","İbn Mâce,Tahâret","İbn Mâce, Tahâret, 48."
233,duzeltildi,"Buhârî,Lib","Buhârî,Libâs","Buhârî, Libâs, 1; Nesâî, Zekât, 66."
236,duzeltildi,"Müslim,Fed","Müslim,Fedâilü’s-Sahâbe","Müslim, Fedâilü’s-Sahâbe, 12."
238,duzeltildi,"Müslim,Nik","Müslim,Nikâh","Müslim, Nikâh, 79."
239,duzeltildi,"Buhârî,Nik","Buhârî,Nikâh","Buhârî, Nikâh, 69."
240,duzeltildi,"Tirmizî,Rad","Tirmizî,Radâ","Tirmizî, Radâ, 11."
241,duzeltildi,"Müslim,Mes","Müslim,Mesâcid","Müslim, Mesâcid, 288."
