hafta_id,tarih,dini_gun,siyasi_olay,kriz_olayi,olay_notu
2018-0911,09.11.2018,,,,
2018-1611,16.11.2018,Mevlid Kandili,,,
2018-2311,23.11.2018,Mevlid Kandili,,,
2018-3011,30.11.2018,,,,
2018-0712,07.12.2018,,,,
2018-1412,14.12.2018,,,,
2018-2112,21.12.2018,,,,
2018-2812,28.12.2018,,,,
2019-0401,04.01.2019,,,,
2019-1101,11.01.2019,,,,
2019-1801,18.01.2019,,,,
2019-2501,25.01.2019,,,,
2019-0102,01.02.2019,,,,
2019-0802,08.02.2019,,,,
2019-1502,15.02.2019,,,,
2019-2202,22.02.2019,,,,
2019-0103,01.03.2019,Regaib Kandili,,,
2019-0803,08.03.2019,Regaib Kandili,,,
2019-1503,15.03.2019,,,,
2019-2203,22.03.2019,,Yerel seçim öncesi (9 gün),,
2019-2903,29.03.2019,Miraç Kandili,Yerel seçim öncesi (2 gün),,
2019-0504,05.04.2019,Miraç Kandili,Yerel seçim sonrası (5 gün),,
2019-1204,12.04.2019,,Yerel seçim sonrası (12 gün),,
2019-1904,19.04.2019,Berat Kandili,,,Berat Kandili tarihi yaklaşık (±1 gün)
2019-2604,26.04.2019,Berat Kandili,,,Berat Kandili tarihi yaklaşık (±1 gün)
2019-0305,03.05.2019,Ramazan başlangıcı,,,
2019-1005,10.05.2019,Ramazan başlangıcı,,,
2019-1705,17.05.2019,Ramazan içi,,,
2019-2405,24.05.2019,Ramazan içi,,,
2019-3105,31.05.2019,Kadir Gecesi; Ramazan Bayramı,,,
2019-0406,04.06.2019,Kadir Gecesi; Ramazan Bayramı,,,
2019-0706,07.06.2019,Kadir Gecesi; Ramazan Bayramı,,,
2019-1406,14.06.2019,,İstanbul seçim yenilemesi öncesi (9 gün),,
2019-2106,21.06.2019,,İstanbul seçim yenilemesi öncesi (2 gün),,
2019-2806,28.06.2019,,İstanbul seçim yenilemesi sonrası (5 gün),,
2019-0507,05.07.2019,,İstanbul seçim yenilemesi sonrası (12 gün),,
2019-1207,12.07.2019,,,,
2019-1907,19.07.2019,,,,
2019-2607,26.07.2019,,,,
2019-0208,02.08.2019,,,,
2019-0908,09.08.2019,Kurban Bayramı,,,
2019-1108,11.08.2019,Kurban Bayramı,,,
2019-1608,16.08.2019,Kurban Bayramı,,,
2019-2308,23.08.2019,,,,
2019-3008,30.08.2019,,,,
2019-0609,06.09.2019,,,,
2019-1309,13.09.2019,,,,
2019-2009,20.09.2019,,,,
2019-2709,27.09.2019,,,,
2019-0410,04.10.2019,,,,
2019-1110,11.10.2019,,,,
2019-1810,18.10.2019,,,,
2019-2510,25.10.2019,,,,
2019-0111,01.11.2019,,,,
2019-0811,08.11.2019,Mevlid Kandili,,,
2019-1511,15.11.2019,,,,
2019-2211,22.11.2019,,,,
2019-2911,29.11.2019,,,,
2019-0612,06.12.2019,,,,
2019-1312,13.12.2019,,,,
2019-2012,20.12.2019,,,,
2019-2712,27.12.2019,,,,
2020-0301,03.01.2020,,,,
2020-1001,10.01.2020,,,,
2020-1701,17.01.2020,,,,
2020-2401,24.01.2020,,,Elazığ depremi (+0 gün),
2020-3101,31.01.2020,,,Elazığ depremi (+7 gün),
2020-0702,07.02.2020,,,Elazığ depremi (+14 gün),
2020-1402,14.02.2020,,,Elazığ depremi (+21 gün),
2020-2102,21.02.2020,Regaib Kandili,,Elazığ depremi (+28 gün),
2020-2802,28.02.2020,Regaib Kandili,,,
2020-0603,06.03.2020,,,,
2020-1303,13.03.2020,,,COVID-19 pandemisi (yoğun dönem),
2020-2703,27.03.2020,Miraç Kandili,,COVID-19 pandemisi (yoğun dönem),
2020-0304,03.04.2020,Berat Kandili,,COVID-19 pandemisi (yoğun dönem),Berat Kandili tarihi yaklaşık (±1 gün)
2020-1004,10.04.2020,Berat Kandili,,COVID-19 pandemisi (yoğun dönem),Berat Kandili tarihi yaklaşık (±1 gün)
2020-1704,17.04.2020,,,COVID-19 pandemisi (yoğun dönem),
2020-2404,24.04.2020,Ramazan başlangıcı,,COVID-19 pandemisi (yoğun dönem),
2020-0105,01.05.2020,Ramazan içi,,COVID-19 pandemisi (yoğun dönem),
2020-0805,08.05.2020,Ramazan içi,,COVID-19 pandemisi (yoğun dönem),
2020-1505,15.05.2020,Kadir Gecesi,,COVID-19 pandemisi (yoğun dönem),
2020-2205,22.05.2020,Kadir Gecesi; Ramazan Bayramı,,COVID-19 pandemisi (yoğun dönem),
2020-2905,29.05.2020,Ramazan Bayramı,,COVID-19 pandemisi (yoğun dönem),
2020-0506,05.06.2020,,,COVID-19 pandemisi (yoğun dönem),
2020-1206,12.06.2020,,,COVID-19 pandemisi (yoğun dönem),
2020-1906,19.06.2020,,,COVID-19 pandemisi (yoğun dönem),
2020-2606,26.06.2020,,,COVID-19 pandemisi (yoğun dönem),
2020-0307,03.07.2020,,,COVID-19 pandemisi (yoğun dönem),
2020-1007,10.07.2020,,,COVID-19 pandemisi (yoğun dönem),
2020-1707,17.07.2020,,,COVID-19 pandemisi (yoğun dönem),
2020-2407,24.07.2020,,,COVID-19 pandemisi (yoğun dönem),
2020-3107,31.07.2020,Kurban Bayramı,,COVID-19 pandemisi (yoğun dönem),
2020-0708,07.08.2020,,,COVID-19 pandemisi (yoğun dönem),
2020-1408,14.08.2020,,,COVID-19 pandemisi (yoğun dönem),
2020-2108,21.08.2020,,,COVID-19 pandemisi (yoğun dönem),
2020-2808,28.08.2020,,,COVID-19 pandemisi (yoğun dönem),
2020-0409,04.09.2020,,,COVID-19 pandemisi (yoğun dönem),
2020-1109,11.09.2020,,,COVID-19 pandemisi (yoğun dönem),
2020-1809,18.09.2020,,,COVID-19 pandemisi (yoğun dönem),
2020-2509,25.09.2020,,,COVID-19 pandemisi (yoğun dönem),
2020-0210,02.10.2020,,,COVID-19 pandemisi (yoğun dönem),
2020-0910,09.10.2020,,,COVID-19 pandemisi (yoğun dönem),
2020-1610,16.10.2020,,,COVID-19 pandemisi (yoğun dönem),
2020-2310,23.10.2020,Mevlid Kandili,,COVID-19 pandemisi (yoğun dönem),
2020-3010,30.10.2020,Mevlid Kandili,,COVID-19 pandemisi (yoğun dönem); İzmir depremi (+0 gün),
2020-0611,06.11.2020,,,COVID-19 pandemisi (yoğun dönem); İzmir depremi (+7 gün),
2020-1311,13.11.2020,,,COVID-19 pandemisi (yoğun dönem); İzmir depremi (+14 gün),
2020-2011,20.11.2020,,,COVID-19 pandemisi (yoğun dönem); İzmir depremi (+21 gün),
2020-2711,27.11.2020,,,COVID-19 pandemisi (yoğun dönem); İzmir depremi (+28 gün),
2020-0412,04.12.2020,,,COVID-19 pandemisi (yoğun dönem),
2020-1112,11.12.2020,,,COVID-19 pandemisi (yoğun dönem),
2020-1812,18.12.2020,,,COVID-19 pandemisi (yoğun dönem),
2020-2512,25.12.2020,,,COVID-19 pandemisi (yoğun dönem),
2021-0101,01.01.2021,,,COVID-19 pandemisi (yoğun dönem),
2021-0801,08.01.2021,,,COVID-19 pandemisi (yoğun dönem),
2021-1501,15.01.2021,,,COVID-19 pandemisi (yoğun dönem),
2021-2201,22.01.2021,,,COVID-19 pandemisi (yoğun dönem),
2021-2901,29.01.2021,,,COVID-19 pandemisi (yoğun dönem),
2021-0502,05.02.2021,,,COVID-19 pandemisi (yoğun dönem),
2021-1202,12.02.2021,Regaib Kandili,,COVID-19 pandemisi (yoğun dönem),
2021-1902,19.02.2021,Regaib Kandili,,COVID-19 pandemisi (yoğun dönem),
2021-2602,26.02.2021,,,COVID-19 pandemisi (yoğun dönem),
2021-0503,05.03.2021,Miraç Kandili,,COVID-19 pandemisi (yoğun dönem),
2021-1203,12.03.2021,Miraç Kandili,,COVID-19 pandemisi (yoğun dönem),
2021-1903,19.03.2021,,,COVID-19 pandemisi (yoğun dönem),
2021-2603,26.03.2021,Berat Kandili,,COVID-19 pandemisi (yoğun dönem),Berat Kandili tarihi yaklaşık (±1 gün)
2021-0204,02.04.2021,Berat Kandili,,COVID-19 pandemisi (yoğun dönem),Berat Kandili tarihi yaklaşık (±1 gün)
2021-0904,09.04.2021,Ramazan başlangıcı,,COVID-19 pandemisi (yoğun dönem),
2021-1604,16.04.2021,Ramazan başlangıcı,,COVID-19 pandemisi (yoğun dönem),
2021-2304,23.04.2021,Ramazan içi,,COVID-19 pandemisi (yoğun dönem),
2021-3004,30.04.2021,Ramazan içi,,COVID-19 pandemisi (yoğun dönem),
2021-0705,07.05.2021,Kadir Gecesi; Ramazan Bayramı,,COVID-19 pandemisi (yoğun dönem),
2021-1305,13.05.2021,Kadir Gecesi; Ramazan Bayramı,,COVID-19 pandemisi (yoğun dönem),
2021-1405,14.05.2021,Kadir Gecesi; Ramazan Bayramı,,COVID-19 pandemisi (yoğun dönem),
